Original_SMILES,R1,R2,R3,R4,cellv
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2CCCC2)C=CN=C1,C1CCC(O[*:1])C1,[H][*:2],N#CC[*:3],[H][*:4],43.51901229999999
CCOC1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CCO[*:1],[H][*:2],F[*:3],[H][*:4],43.35616116
COC1=C(NC(=O)C2=C3N=CC(=CN3N=C2N)C(C)C#N)C=NC=C1,CO[*:1],[H][*:2],CC(C#N)[*:3],[H][*:4],43.23756366
CCC(C#N)C1=CN2N=C(N)C(C(=O)NC3=C(OC)C=CN=C3)=C2N=C1,CO[*:1],[H][*:2],CCC(C#N)[*:3],[H][*:4],42.11273539
CCOC1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CCO[*:1],[H][*:2],Cl[*:3],[H][*:4],41.56212385
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(OC2CCOC2)C=CN=C1,C1CC(O[*:1])CO1,[H][*:2],F[*:3],[H][*:4],41.54719716
CC(=O)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC(=O)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],41.41919201
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CC=N1,c1cnn([*:1])c1,[H][*:2],F[*:3],[H][*:4],41.31435909
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(OCCO)C=CN=C1,OCCO[*:1],[H][*:2],Cl[*:3],[H][*:4],41.10184616
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCC1,C1CCN([*:1])C1,[H][*:2],N#CC[*:3],[H][*:4],39.84966099
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCS(=O)(=O)CC1,O=S1(=O)CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],39.39089103
