Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-G-12;Compound_I-G-56,11.25130985,28.93331642,6.949264143,12.39963332,15.59872076,0.093536169
Compound_I-G-13,7.924249287,33.71172806,6.078330486,11.85261282,11.85303699,0.090844931
Compound_I-G-72;Compound_I-G-14,18.70266075,2629.98346,31.20153989,82.72885907,51.94327393,0.129645056
Compound_I-G-15,9.074017795,27.94194693,6.894366464,10.85357122,14.0040666,0.08044056
Compound_I-G-16,15.21750102,59.87590107,19.17751386,25.88247355,34.72991813,0.098041587
Compound_I-G-18,9.042870967,45.13811459,11.41430389,18.68235417,20.54709613,0.081769686
Compound_I-G-19,21.84155586,1533.874672,39.76353979,90.52412455,62.59066053,0.121130032
Compound_I-G-20,9.620078374,34.48268472,8.370470138,12.34063904,19.13727171,0.071550999
Compound_I-G-21,26.95916736,3211.691644,47.25156142,143.0423752,77.68398084,0.125745912
Compound_I-G-22,15.6774284,84.32302244,14.00273799,30.04335794,30.2038282,0.106546056
Compound_I-G-23,17.70840849,65.89333375,14.58607802,17.45525327,29.71496506,0.091695811
Compound_I-G-24,12.52835604,51.59890746,10.63761699,16.05107902,25.54177971,0.070030267
Compound_I-G-25,10.26887629,33.88482936,9.146332065,13.85096888,21.3359798,0.078140626
Compound_I-G-26,13.46075687,45.30214479,15.41520324,21.26053779,28.47542294,0.091247229
Compound_I-G-27,9.773941188,33.64389934,6.701069443,10.42902228,15.62446928,0.068570387
Compound_I-G-29,31.92766708,6936.468188,55.10933591,177.9580019,114.3872774,0.16493435
Compound_I-G-30,10.9333152,41.47136744,8.846728357,11.6786713,23.43037964,0.088818597
Compound_I-G-31,14.26541063,60.43469092,12.37757273,20.34214378,25.13091173,0.090385404
Compound_I-G-32,9.980108439,51.07876396,16.05721662,22.16165704,32.18514381,0.092134933
Compound_I-G-33,24.05636212,11927.11276,51.60067878,129.7250792,119.5494384,0.123697419
Compound_I-G-34,15.95042615,68.37973884,14.7401912,24.81419834,31.31207351,0.093309652
Compound_I-G-35,7.429233393,30.29374803,5.037223031,11.17044287,10.35853491,0.08246768
Compound_I-G-36,30.76183056,2089.205034,46.89986238,181.5550358,89.73972377,0.09034497
Compound_I-G-37,31.7108186,1889.454479,38.80623301,105.4961282,80.2523971,0.082416046
Compound_I-G-38,10.20222569,28.81682929,8.136956923,12.78833591,13.9662795,0.074967018
Compound_I-G-40,27.65409705,1366.972027,41.24044046,140.3290178,78.33749627,0.109148096
Compound_I-G-41,24.54752731,1805.562944,38.42461525,99.91364377,69.55354826,0.103835949
Compound_I-G-42,8.87265118,31.4307495,7.408780038,9.53220728,17.19559151,0.085294714
Compound_I-G-43,11.22940427,49.62150334,9.111970099,16.4683737,19.01370898,0.090111676
Compound_I-G-44,10.11282073,39.61643965,8.668533582,17.16967785,19.91118986,0.066914633
Compound_I-G-45,8.49453327,25.77319427,7.869667287,12.86534322,16.03935652,0.093374869
Compound_I-G-46,9.842721463,39.35530417,8.270435702,13.596287,18.64328949,0.07483717
Compound_I-G-47,9.811327644,33.4858049,7.288703373,14.26298683,16.63114048,0.072602883
Compound_I-G-48,8.687177618,22.93698991,5.285115321,10.47045961,13.29002767,0.090807889
