Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-G-77,154.6991679,1565859.156,446.0336949,1993.195828,1142.900808,5.893632539
Compound_I-G-78,216.0773489,11764742.51,555.4194839,2538.074847,1084.084195,6.935899827
Compound_I-G-79,202.628996,619179.6173,548.3696373,2654.759895,1199.772841,5.31753608
Compound_I-G-80,147.9551308,356045.4934,371.1630498,1152.699681,742.0025677,5.253622206
Compound_I-G-81,170.556128,23029467.11,481.5306365,2270.460825,989.5531778,9.027828195
Compound_I-G-82,116.3021918,124745.9552,292.6144357,753.9456241,646.0891741,5.536420642
Compound_I-G-83,160.7796231,248432.4645,543.6548081,2002.557616,1140.848551,5.868566876
Compound_I-G-84,160.2771259,508787.765,374.989526,1718.125006,866.0626016,4.177186428
Compound_I-G-85,231.3306785,11405811.55,732.5076545,4332.13002,1676.085716,6.038721551
Compound_I-G-86,222.4468526,28267444.57,784.5372867,3892.281673,1297.374081,9.240178429
Compound_I-G-87,30.43805243,153.0643114,34.56382196,55.92203146,100.9047676,1.209453899
Compound_I-G-88,194.5903003,832110.4334,456.9728951,1722.643964,1145.241948,4.855388293
Compound_I-G-89,224.8311444,2702350266,709.4449515,3102.576521,1074.823495,12.18310631
Compound_I-G-90,167.9912028,657217.9794,410.5667608,1812.104248,939.4136251,4.500259222
Compound_I-G-91,171.0241301,970197.3485,422.0864719,1836.093785,816.2451078,6.298466308
Compound_I-G-92,59.84372289,388.9580518,49.3890583,142.3124436,195.6357826,1.042903152
Compound_I-G-93,208.5907064,239836.9104,431.9700386,2667.112566,925.8394653,4.659131163
Compound_I-G-94,188.7299292,712248.5026,413.3781981,1923.984941,845.4832234,4.732690587
Compound_I-G-95,83.91494165,451.2431282,74.19347642,132.4030187,287.5424764,1.686761334
Compound_I-G-96,73.19523732,449.1329501,58.03584833,169.6911915,252.1514811,1.065219706
Compound_I-G-98,190.6310586,2828906.679,588.3699972,3300.32097,872.7544578,4.955535445
